profile,scheduler,ret_1d,ret_7d,ret_30d,mastery,efficiency,final_ece,final_brier,final_Kstar
Low-Over,CALIBRATEME,0.294305,0.238342,0.201217,30.00,12.0000,0.120320,0.189317,0.156524
Low-Over,SM2,0.290543,0.236812,0.201169,30.00,12.0000,0.209662,0.224777,0.150280
Low-Over,BKT_ONLY,0.294841,0.238559,0.201224,30.00,12.0000,0.218050,0.216990,0.157413
Low-Over,DECAY_BASED,0.293017,0.237818,0.201201,30.00,12.0000,0.204285,0.228800,0.154386
Low-Under,CALIBRATEME,0.291833,0.237336,0.201185,30.00,12.0000,0.156040,0.209814,0.152421
Low-Under,SM2,0.286898,0.235330,0.201122,30.00,12.0000,0.279979,0.290447,0.144230
Low-Under,BKT_ONLY,0.294546,0.238440,0.201220,30.00,12.0000,0.249183,0.253056,0.156925
Low-Under,DECAY_BASED,0.293153,0.237873,0.201202,30.00,12.0000,0.275764,0.285237,0.154612
Low-Well,CALIBRATEME,0.290993,0.236995,0.201174,30.00,12.0000,0.178755,0.237146,0.151028
Low-Well,SM2,0.286768,0.235277,0.201120,30.00,12.0000,0.166713,0.239278,0.144015
Low-Well,BKT_ONLY,0.295229,0.238717,0.201229,30.00,12.0000,0.201521,0.212498,0.158057
Low-Well,DECAY_BASED,0.292894,0.237768,0.201199,30.00,12.0000,0.209563,0.235141,0.154182
Med-Over,CALIBRATEME,0.419596,0.320517,0.212083,30.00,12.0000,0.183499,0.246968,0.346702
Med-Over,SM2,0.432196,0.327432,0.212776,30.00,12.0000,0.227353,0.255217,0.366594
Med-Over,BKT_ONLY,0.435444,0.329214,0.212955,30.00,12.0000,0.216961,0.247249,0.371722
Med-Over,DECAY_BASED,0.431972,0.327309,0.212764,30.00,12.0000,0.243007,0.261447,0.366241
Med-Under,CALIBRATEME,0.411384,0.316010,0.211631,30.00,12.0000,0.184621,0.229398,0.333737
Med-Under,SM2,0.394570,0.306782,0.210706,30.00,12.0000,0.248906,0.263872,0.307190
Med-Under,BKT_ONLY,0.430520,0.326512,0.212684,30.00,12.0000,0.264729,0.264323,0.363948
Med-Under,DECAY_BASED,0.432047,0.327350,0.212768,30.00,12.0000,0.259781,0.282894,0.366359
Med-Well,CALIBRATEME,0.417260,0.319235,0.211954,30.00,12.0000,0.171595,0.249597,0.343013
Med-Well,SM2,0.418981,0.320179,0.212049,30.00,12.0000,0.166822,0.213735,0.345731
Med-Well,BKT_ONLY,0.430656,0.326587,0.212691,30.00,12.0000,0.146220,0.226869,0.364163
Med-Well,DECAY_BASED,0.430752,0.326640,0.212697,30.00,12.0000,0.190436,0.242263,0.364316
High-Over,CALIBRATEME,0.605898,0.500697,0.295212,30.00,12.0000,0.197288,0.203275,0.609584
High-Over,SM2,0.640553,0.526370,0.303341,30.00,12.0000,0.184651,0.234157,0.661630
High-Over,BKT_ONLY,0.627334,0.516577,0.300240,30.00,12.0000,0.193308,0.230112,0.641778
High-Over,DECAY_BASED,0.634675,0.522015,0.301962,30.00,12.0000,0.211358,0.246778,0.652801
High-Under,CALIBRATEME,0.619109,0.510483,0.298310,30.00,12.0000,0.180515,0.216156,0.629424
High-Under,SM2,0.636951,0.523701,0.302496,30.00,12.0000,0.230958,0.236580,0.656220
High-Under,BKT_ONLY,0.626110,0.515670,0.299953,30.00,12.0000,0.227113,0.255095,0.639938
High-Under,DECAY_BASED,0.634199,0.521663,0.301850,30.00,12.0000,0.263029,0.233692,0.652087
High-Well,CALIBRATEME,0.615721,0.507973,0.297516,30.00,12.0000,0.207619,0.222537,0.624336
High-Well,SM2,0.641137,0.526802,0.303478,30.00,12.0000,0.184447,0.225552,0.662506
High-Well,BKT_ONLY,0.628989,0.517803,0.300628,30.00,12.0000,0.196989,0.233196,0.644262
High-Well,DECAY_BASED,0.632875,0.520682,0.301540,30.00,12.0000,0.227284,0.227671,0.650099