session,Med-Over_CM_Kstar,Med-Over_SM2_Kstar,Med-Over_CM_ECE,Med-Over_SM2_ECE,Med-Under_CM_Kstar,Med-Under_SM2_Kstar,Med-Under_CM_ECE,Med-Under_SM2_ECE,Med-Well_CM_Kstar,Med-Well_SM2_Kstar,Med-Well_CM_ECE,Med-Well_SM2_ECE,High-Over_CM_Kstar,High-Over_SM2_Kstar,High-Over_CM_ECE,High-Over_SM2_ECE
1,0.146080,0.146080,0.206105,0.205959,0.146080,0.146080,0.274749,0.274575,0.146080,0.146080,0.240287,0.240287,0.169120,0.169120,0.194175,0.194016
2,0.176086,0.174918,0.211604,0.207846,0.175252,0.176083,0.249520,0.265948,0.175602,0.174316,0.205466,0.225144,0.226686,0.225578,0.225421,0.211990
3,0.201938,0.200429,0.191130,0.164162,0.202371,0.201654,0.249862,0.284229,0.202013,0.198011,0.226219,0.206173,0.276415,0.273628,0.227476,0.199568
4,0.225011,0.222477,0.173854,0.202233,0.227349,0.225432,0.258663,0.304680,0.226171,0.218508,0.200858,0.191306,0.319232,0.313972,0.217520,0.218400
5,0.243061,0.241239,0.209374,0.223580,0.248919,0.244536,0.274498,0.290982,0.246484,0.235714,0.250176,0.221931,0.352202,0.351106,0.206641,0.222695
6,0.259971,0.257281,0.182333,0.244365,0.269102,0.260207,0.296441,0.350800,0.265254,0.251756,0.239930,0.244087,0.385955,0.385983,0.242188,0.258038
7,0.277761,0.270293,0.231334,0.249527,0.285190,0.271252,0.271214,0.309319,0.279969,0.263065,0.234604,0.224613,0.415265,0.416927,0.176275,0.242023
8,0.288329,0.279614,0.255148,0.255582,0.298284,0.279259,0.225976,0.276541,0.291124,0.269960,0.217590,0.218010,0.440030,0.442773,0.259714,0.272826
9,0.295362,0.288824,0.235968,0.269339,0.307643,0.284355,0.228127,0.237225,0.301271,0.280179,0.207516,0.236805,0.462004,0.468901,0.208441,0.252928
10,0.302433,0.297176,0.277419,0.251228,0.316228,0.288200,0.214442,0.263558,0.310398,0.286695,0.237387,0.216177,0.477414,0.491069,0.224732,0.242710
11,0.308412,0.307529,0.226040,0.237528,0.324340,0.290774,0.259846,0.262354,0.318210,0.293432,0.233093,0.231917,0.492852,0.517245,0.194579,0.269615
12,0.313569,0.316206,0.211698,0.274266,0.329404,0.293067,0.255359,0.301330,0.323048,0.298978,0.240360,0.282185,0.502401,0.540304,0.212002,0.273630
13,0.321852,0.325422,0.215518,0.231148,0.334785,0.294841,0.273351,0.291618,0.326985,0.306440,0.196433,0.218861,0.516449,0.563737,0.222435,0.250498
14,0.328635,0.331209,0.256410,0.253727,0.337435,0.297577,0.191004,0.260810,0.329930,0.312989,0.244817,0.248851,0.529256,0.580493,0.238866,0.258264
15,0.332048,0.338267,0.202962,0.223790,0.340983,0.298849,0.280926,0.264435,0.331633,0.319733,0.224259,0.255938,0.539892,0.597892,0.231810,0.232325
16,0.334938,0.342761,0.219884,0.256994,0.343206,0.298827,0.241419,0.275127,0.334116,0.325221,0.199559,0.213176,0.554345,0.610093,0.200319,0.240815
17,0.337473,0.347138,0.215894,0.268634,0.344611,0.300779,0.246011,0.259836,0.337598,0.329034,0.244007,0.229898,0.564658,0.621564,0.217991,0.213164
18,0.335498,0.349255,0.203935,0.259649,0.343331,0.299767,0.222687,0.242041,0.339069,0.330393,0.237094,0.239622,0.569619,0.628213,0.239217,0.249914
19,0.336595,0.353749,0.177997,0.223936,0.343509,0.300787,0.234012,0.269606,0.341981,0.333614,0.180909,0.246791,0.579315,0.635791,0.160310,0.192565
20,0.342077,0.357309,0.222791,0.251047,0.343305,0.301542,0.251690,0.285593,0.342858,0.335964,0.237214,0.226950,0.586909,0.641363,0.212311,0.200569
21,0.342401,0.358975,0.214080,0.256522,0.340209,0.302352,0.152637,0.228764,0.340084,0.336852,0.164250,0.212371,0.592063,0.645192,0.211946,0.217726
22,0.340564,0.360022,0.200236,0.274598,0.337614,0.302927,0.235812,0.268365,0.339132,0.337920,0.218259,0.226076,0.594046,0.648511,0.167555,0.220708
23,0.339272,0.361118,0.226485,0.300091,0.335300,0.303437,0.221409,0.275035,0.339051,0.338465,0.247320,0.239439,0.598548,0.651504,0.216440,0.260456
24,0.341739,0.362484,0.189811,0.231153,0.333230,0.303290,0.240885,0.266248,0.339119,0.339610,0.247462,0.230960,0.600040,0.652794,0.189116,0.216582
25,0.344315,0.364414,0.254870,0.273220,0.333538,0.304816,0.262434,0.306277,0.341374,0.341496,0.261071,0.266030,0.604048,0.655800,0.225753,0.200216
26,0.342775,0.366484,0.239683,0.232669,0.332639,0.305661,0.235544,0.278258,0.343769,0.344408,0.242619,0.282436,0.605585,0.656985,0.215015,0.191949
27,0.346915,0.367687,0.218833,0.252282,0.333981,0.305474,0.235614,0.267894,0.343800,0.345789,0.216001,0.260672,0.606894,0.659412,0.215100,0.229067
28,0.348121,0.368192,0.255401,0.234894,0.333670,0.306385,0.218016,0.273756,0.343891,0.345221,0.240025,0.221142,0.608500,0.660923,0.203011,0.220985
29,0.347954,0.367289,0.259354,0.286393,0.333567,0.306560,0.240985,0.280564,0.343930,0.345089,0.269761,0.296414,0.609070,0.661299,0.218109,0.223613
30,0.346702,0.366594,0.183499,0.227353,0.333737,0.307190,0.184621,0.248906,0.343013,0.345731,0.171595,0.166822,0.609584,0.661630,0.197288,0.184651