parameter_value,profile,cm_retention_mean,cm_retention_ci_lower,cm_retention_ci_upper,sm2_retention_mean,sm2_retention_ci_lower,sm2_retention_ci_upper,advantage_mean,advantage_ci_lower,advantage_ci_upper
-0.3000,Med-Over,0.278299,0.276574,0.280024,0.258160,0.254507,0.261814,0.020139,0.016976,0.023302
-0.3000,Med-Under,0.277967,0.276279,0.279656,0.259208,0.255903,0.262513,0.018759,0.015395,0.022124
-0.3000,Med-Well,0.278292,0.276597,0.279986,0.260263,0.256840,0.263687,0.018028,0.014134,0.021923
-0.2000,Med-Over,0.278313,0.276612,0.280013,0.258420,0.255194,0.261647,0.019892,0.016167,0.023617
-0.2000,Med-Under,0.278184,0.276465,0.279902,0.259369,0.255485,0.263253,0.018815,0.014515,0.023114
-0.2000,Med-Well,0.278110,0.276480,0.279741,0.261107,0.257948,0.264266,0.017003,0.014633,0.019373
-0.1000,Med-Over,0.278091,0.276339,0.279843,0.261556,0.257996,0.265115,0.016535,0.013568,0.019502
-0.1000,Med-Under,0.278121,0.276463,0.279780,0.264213,0.261370,0.267056,0.013908,0.011722,0.016094
-0.1000,Med-Well,0.278144,0.276368,0.279920,0.263458,0.261717,0.265199,0.014686,0.012893,0.016479
0.0000,Med-Over,0.278067,0.276248,0.279886,0.264929,0.262423,0.267434,0.013139,0.011576,0.014701
0.0000,Med-Under,0.278015,0.276231,0.279798,0.265775,0.264380,0.267169,0.012240,0.010367,0.014113
0.0000,Med-Well,0.277985,0.276225,0.279744,0.267280,0.265449,0.269111,0.010705,0.008587,0.012822
0.1000,Med-Over,0.278082,0.276253,0.279910,0.269639,0.267373,0.271905,0.008443,0.006542,0.010343
0.1000,Med-Under,0.278085,0.276302,0.279867,0.268847,0.266912,0.270782,0.009238,0.007627,0.010849
0.1000,Med-Well,0.278080,0.276267,0.279892,0.268400,0.266741,0.270059,0.009680,0.008044,0.011315
0.2000,Med-Over,0.278106,0.276267,0.279945,0.270175,0.268248,0.272103,0.007931,0.007166,0.008695
0.2000,Med-Under,0.278184,0.276311,0.280057,0.270296,0.267987,0.272604,0.007889,0.006961,0.008816
0.2000,Med-Well,0.278130,0.276296,0.279964,0.270078,0.268729,0.271426,0.008052,0.007160,0.008945
0.3000,Med-Over,0.278163,0.276383,0.279943,0.271080,0.269364,0.272796,0.007084,0.006449,0.007718
0.3000,Med-Under,0.278135,0.276351,0.279920,0.270862,0.269170,0.272555,0.007273,0.006304,0.008242
0.3000,Med-Well,0.278137,0.276351,0.279922,0.270324,0.268751,0.271897,0.007813,0.006938,0.008688